"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"235";"MST0168";"3";NA;"7.65";"2020-aug-27";"MST-SX09";NA;"350";"09_03";"#N/A-NA-#N/A";NA;"MST0168";"MST0168::#N/A-NA-#N/A";FALSE
"399";"MST0169";"3";NA;"9.95";"2020-nov-17";"MST-SX16";NA;"350";"16_03";"#N/A-NA-#N/A";NA;"MST0169";"MST0169::#N/A-NA-#N/A";FALSE
"185";"MST0170";"2";NA;"12.2";"2020-jun-08";"MST-SX06";NA;"350";"06_02";"#N/A-NA-#N/A";NA;"MST0170";"MST0170::#N/A-NA-#N/A";FALSE
"272";"MST0171";"7";NA;"6.5";"2020-sep-08";"MST-SX10";NA;"350";"10_07";"#N/A-NA-#N/A";NA;"MST0171";"MST0171::#N/A-NA-#N/A";FALSE
"236";"MST0172";"4";NA;"2.37";"2020-aug-27";"MST-SX09";NA;"350";"09_04";"#N/A-NA-#N/A";NA;"MST0172";"MST0172::#N/A-NA-#N/A";FALSE
"186";"MST0173";"3";NA;"2.1";"2020-jun-08";"MST-SX06";NA;"350";"06_03";"#N/A-NA-#N/A";NA;"MST0173";"MST0173::#N/A-NA-#N/A";FALSE
"273";"MST0174";"8";NA;"1.74";"2020-sep-08";"MST-SX10";NA;"350";"10_08";"2019-06-04";NA;"MST0174";"MST0174::2019-06-04";FALSE
"274";"MST0175";"9";NA;"2.64";"2020-sep-08";"MST-SX10";NA;"350";"10_09";"#N/A-NA-#N/A";NA;"MST0175";"MST0175::#N/A-NA-#N/A";FALSE
"275";"MST0176";"10";NA;"2.33";"2020-sep-08";"MST-SX10";NA;"350";"10_10";"2019-05-08";NA;"MST0176";"MST0176::2019-05-08";FALSE
"187";"MST0177";"4";NA;"2.78";"2020-jun-08";"MST-SX06";NA;"350";"06_04";"2019-06-04";NA;"MST0177";"MST0177::2019-06-04";FALSE
"237";"MST0178";"5";NA;"3.61";"2020-aug-27";"MST-SX09";NA;"350";"09_05";"2019-06-04";NA;"MST0178";"MST0178::2019-06-04";FALSE
"188";"MST0179";"5";"11-06-2019 ARH170006, 1 m";"2.22";"2020-jun-08";"MST-SX06";NA;"350";"06_05";"2019-06-11";NA;"MST0179";"MST0179::2019-06-11";FALSE
"238";"MST0180";"6";NA;"3.12";"2020-aug-27";"MST-SX09";NA;"350";"09_06";"2019-06-11";NA;"MST0180";"MST0180::2019-06-11";FALSE
"239";"MST0181";"7";NA;"8.15";"2020-aug-27";"MST-SX09";NA;"350";"09_07";"#N/A-NA-#N/A";NA;"MST0181";"MST0181::#N/A-NA-#N/A";FALSE
"219";"MST0182";"3";"12-06-2019, VSJ20925";"3";"2020-jun-30";"MST-SX08";NA;"350";"08_03";"2019-06-12";NA;"MST0182";"MST0182::2019-06-12";FALSE
"220";"MST0183";"4";NA;"2.66";"2020-jun-30";"MST-SX08";NA;"350";"08_04";"2019-05-23";NA;"MST0183";"MST0183::2019-05-23";FALSE
"276";"MST0184";"11";NA;"2.4";"2020-sep-08";"MST-SX10";NA;"350";"10_11";"2019-06-12";NA;"MST0184";"MST0184::2019-06-12";FALSE
"221";"MST0185";"5";NA;"10";"2020-jun-30";"MST-SX08";NA;"350";"08_05";"#N/A-NA-#N/A";NA;"MST0185";"MST0185::#N/A-NA-#N/A";FALSE
"277";"MST0186";"12";NA;"0.88";"2020-sep-08";"MST-SX10";NA;"350";"10_12";"2019-06-11";NA;"MST0186";"MST0186::2019-06-11";FALSE
"189";"MST0187";"6";NA;"2.68";"2020-jun-08";"MST-SX06";NA;"350";"06_06";"2019-05-10";NA;"MST0187";"MST0187::2019-05-10";FALSE
"202";"MST0188";"2";NA;"13.3";"2020-jun-26";"MST-SX07";NA;"350";"07_02";"2019-09-02";NA;"MST0188";"MST0188::2019-09-02";FALSE
"222";"MST0189";"6";"28-05-2019, VEJ0006870, 1,0 m";"4.62";"2020-jun-30";"MST-SX08";NA;"350";"08_06";"#N/A-NA-#N/A";NA;"MST0189";"MST0189::#N/A-NA-#N/A";FALSE
"301";"MST0190";"4";NA;"4.88";"2020-sep-15";"MST-SX11";NA;"350";"11_04";"#N/A-NA-#N/A";NA;"MST0190";"MST0190::#N/A-NA-#N/A";FALSE
"190";"MST0191";"7";"22-03-2019 Karrebæksminde bugt";"2.22";"2020-jun-08";"MST-SX06";NA;"350";"06_07";"2019-03-22";NA;"MST0191";"MST0191::2019-03-22";FALSE
"240";"MST0192";"8";NA;"1.21";"2020-aug-27";"MST-SX09";NA;"350";"09_08";"2019-06-12";NA;"MST0192";"MST0192::2019-06-12";FALSE
"465";"MST0193";"10";NA;"9.85";"2021-mar-05";"MST-SX19";NA;"350";"19_10";"#N/A-NA-#N/A";NA;"MST0193";"MST0193::#N/A-NA-#N/A";FALSE
"116";"MST0193";"20180904-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-09-04";NA;"MST0193";"MST0193::2018-09-04";FALSE
"117";"MST0194";"20180904-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No2";"350";NA;"2018-09-04";NA;"MST0194";"MST0194::2018-09-04";FALSE
"241";"MST0195";"9";NA;"3.19";"2020-aug-27";"MST-SX09";NA;"350";"09_09";"2019-05-10";NA;"MST0195";"MST0195::2019-05-10";FALSE
"118";"MST0196";"20180904-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-09-04";NA;"MST0196";"MST0196::2018-09-04";FALSE
"119";"MST0197";"20180903-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No1";"350";NA;"2018-09-03";NA;"MST0197";"MST0197::2018-09-03";FALSE
"466";"MST0198";"11";NA;"0.62";"2021-mar-05";"MST-SX19";NA;"350";"19_11";"#N/A-NA-#N/A";NA;"MST0198";"MST0198::#N/A-NA-#N/A";FALSE
"120";"MST0198";"20180903-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-09-03";NA;"MST0198";"MST0198::2018-09-03";FALSE
"278";"MST0199";"13";NA;"2.2";"2020-sep-08";"MST-SX10";NA;"350";"10_13";"2019-04-29";NA;"MST0199";"MST0199::2019-04-29";FALSE
"279";"MST0200";"14";NA;"5.8";"2020-sep-08";"MST-SX10";NA;"350";"10_14";"2019-05-27";NA;"MST0200";"MST0200::2019-05-27";FALSE
"302";"MST0201";"5";NA;"7.2";"2020-sep-15";"MST-SX11";NA;"350";"11_05";"2019-05-27";NA;"MST0201";"MST0201::2019-05-27";FALSE
"373";"MST0202";"1";NA;"2.32";"2020-okt-29";"MST-SX15";NA;"350";"15_01";"2020-06-25";NA;"MST0202";"MST0202::2020-06-25";FALSE
"303";"MST0203";"6";NA;"3.08";"2020-sep-15";"MST-SX11";NA;"350";"11_06";"2019-05-08";NA;"MST0203";"MST0203::2019-05-08";FALSE
"280";"MST0204";"15";NA;"3.43";"2020-sep-08";"MST-SX10";NA;"350";"10_15";"#N/A-NA-#N/A";NA;"MST0204";"MST0204::#N/A-NA-#N/A";FALSE
"121";"MST0205";"20180903-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-09-03";NA;"MST0205";"MST0205::2018-09-03";FALSE
"122";"MST0206";"20180925-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-09-25";NA;"MST0206";"MST0206::2018-09-25";FALSE
"242";"MST0207";"10";NA;"4.94";"2020-aug-27";"MST-SX09";NA;"350";"09_10";"2019-03-22";NA;"MST0207";"MST0207::2019-03-22";FALSE
"123";"MST0208";"20180830-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-08-30";NA;"MST0208";"MST0208::2018-08-30";FALSE
"124";"MST0209";"20180831-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-08-31";NA;"MST0209";"MST0209::2018-08-31";FALSE
"125";"MST0209";"20180831-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-08-31";NA;"MST0209";"MST0209::2018-08-31";FALSE
"126";"MST0210";"20180919-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-09-19";NA;"MST0210";"MST0210::2018-09-19";FALSE
"127";"MST0211";"20180925-2";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No2";"350";NA;"2018-09-25";NA;"MST0211";"MST0211::2018-09-25";FALSE
"304";"MST0213";"7";NA;"0.348";"2020-sep-15";"MST-SX11";NA;"350";"11_07";"2019-04-03";NA;"MST0213";"MST0213::2019-04-03";FALSE
"467";"MST0214";"12";NA;"1.68";"2021-mar-05";"MST-SX19";NA;"350";"19_12";"#N/A-NA-#N/A";NA;"MST0214";"MST0214::#N/A-NA-#N/A";FALSE
"128";"MST0214";"20180925-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-09-25";NA;"MST0214";"MST0214::2018-09-25";FALSE
"223";"MST0215";"7";"22-03-2019, Karrebæksminde bugt B";"2.47";"2020-jun-30";"MST-SX08";NA;"350";"08_07";"2019-03-22";NA;"MST0215";"MST0215::2019-03-22";FALSE
"468";"MST0217";"13";NA;"1.14";"2021-mar-05";"MST-SX19";NA;"350";"19_13";"#N/A-NA-#N/A";NA;"MST0217";"MST0217::#N/A-NA-#N/A";FALSE
"129";"MST0217";"20180830-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-08-30";NA;"MST0217";"MST0217::2018-08-30";FALSE
"130";"MST0218";"20180919-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No2";"350";NA;"2018-09-19";NA;"MST0218";"MST0218::2018-09-19";FALSE
"469";"MST0219";"14";NA;"1.7";"2021-mar-05";"MST-SX19";NA;"350";"19_14";"#N/A-NA-#N/A";NA;"MST0219";"MST0219::#N/A-NA-#N/A";FALSE
"131";"MST0219";"20180919-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-09-19";NA;"MST0219";"MST0219::2018-09-19";FALSE
"132";"MST0220";"20180830-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-08-30";NA;"MST0220";"MST0220::2018-08-30";FALSE
"133";"MST0221";"20180829-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-08-29";NA;"MST0221";"MST0221::2018-08-29";FALSE
"134";"MST0223";"20180529-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-05-29";NA;"MST0223";"MST0223::2018-05-29";FALSE
"470";"MST0224";"15";NA;"2.9";"2021-mar-05";"MST-SX19";NA;"350";"19_15";"#N/A-NA-#N/A";NA;"MST0224";"MST0224::#N/A-NA-#N/A";FALSE
"135";"MST0224";"20180829-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-08-29";NA;"MST0224";"MST0224::2018-08-29";FALSE
"136";"MST0225";"20180817-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-08-17";NA;"MST0225";"MST0225::2018-08-17";FALSE
"137";"MST0226";"20180828-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-08-28";NA;"MST0226";"MST0226::2018-08-28";FALSE
"138";"MST0227";"20180829-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-08-29";NA;"MST0227";"MST0227::2018-08-29";FALSE
"139";"MST0228";"20180829-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-08-29";NA;"MST0228";"MST0228::2018-08-29";FALSE
"140";"MST0229";"20180516-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-05-16";NA;"MST0229";"MST0229::2018-05-16";FALSE
"141";"MST0230";"20180627-3";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-27";NA;"MST0230";"MST0230::2018-06-27";FALSE
"142";"MST0231";"20180817-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-08-17";NA;"MST0231";"MST0231::2018-08-17";FALSE
"471";"MST0232";"16";NA;"3.02";"2021-mar-05";"MST-SX19";NA;"350";"19_16";"#N/A-NA-#N/A";NA;"MST0232";"MST0232::#N/A-NA-#N/A";FALSE
"143";"MST0232";"20180831-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-08-31";NA;"MST0232";"MST0232::2018-08-31";FALSE
"144";"MST0232";"20180831-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No2";"350";NA;"2018-08-31";NA;"MST0232";"MST0232::2018-08-31";FALSE
"145";"MST0233";"20180829-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-08-29";NA;"MST0233";"MST0233::2018-08-29";FALSE
"146";"MST0235";"20180831-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No3";"350";NA;"2018-08-31";NA;"MST0235";"MST0235::2018-08-31";FALSE
"147";"MST0235";"20180831-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-08-31";NA;"MST0235";"MST0235::2018-08-31";FALSE
"148";"MST0236";"20180910-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-09-10";NA;"MST0236";"MST0236::2018-09-10";FALSE
"149";"MST0237";"20180910-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No1";"350";NA;"2018-09-10";NA;"MST0237";"MST0237::2018-09-10";FALSE
"472";"MST0238";"17";NA;"1.61";"2021-mar-05";"MST-SX19";NA;"350";"19_17";"#N/A-NA-#N/A";NA;"MST0238";"MST0238::#N/A-NA-#N/A";FALSE
"150";"MST0238";"20180828-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-08-28";NA;"MST0238";"MST0238::2018-08-28";FALSE
"191";"MST0239";"8";NA;"5.5";"2020-jun-08";"MST-SX06";NA;"350";"06_08";"#N/A-NA-#N/A";NA;"MST0239";"MST0239::#N/A-NA-#N/A";FALSE
"473";"MST0240";"18";NA;"0.975";"2021-mar-05";"MST-SX19";NA;"350";"19_18";"#N/A-NA-#N/A";NA;"MST0240";"MST0240::#N/A-NA-#N/A";FALSE
"151";"MST0240";"20180823-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-08-23";NA;"MST0240";"MST0240::2018-08-23";FALSE
"152";"MST0241";"20180529-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-05-29";NA;"MST0241";"MST0241::2018-05-29";FALSE
"153";"MST0242";"20180918-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No2";"350";NA;"2018-09-18";NA;"MST0242";"MST0242::2018-09-18";FALSE
"154";"MST0243";"20180904-2";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No1";"350";NA;"2018-09-04";NA;"MST0243";"MST0243::2018-09-04";FALSE
"155";"MST0244";"20180828-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-08-28";NA;"MST0244";"MST0244::2018-08-28";FALSE
"156";"MST0245";"20180823-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-08-23";NA;"MST0245";"MST0245::2018-08-23";FALSE
"157";"MST0247";"20180918-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-09-18";NA;"MST0247";"MST0247::2018-09-18";FALSE
"474";"MST0248";"19";NA;"2.03";"2021-mar-05";"MST-SX19";NA;"350";"19_19";"#N/A-NA-#N/A";NA;"MST0248";"MST0248::#N/A-NA-#N/A";FALSE
"158";"MST0248";"20180829-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-08-29";NA;"MST0248";"MST0248::2018-08-29";FALSE
"475";"MST0249";"20";NA;"1.92";"2021-mar-05";"MST-SX19";NA;"350";"19_20";"#N/A-NA-#N/A";NA;"MST0249";"MST0249::#N/A-NA-#N/A";FALSE
"159";"MST0249";"20180910-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-09-10";NA;"MST0249";"MST0249::2018-09-10";FALSE
"281";"MST0250";"16";NA;"2.24";"2020-sep-08";"MST-SX10";NA;"350";"10_16";"2019-05-08";NA;"MST0250";"MST0250::2019-05-08";FALSE
"282";"MST0251";"17";NA;"5.4";"2020-sep-08";"MST-SX10";NA;"350";"10_17";"2019-05-23";NA;"MST0251";"MST0251::2019-05-23";FALSE
"305";"MST0252";"8";NA;"4.16";"2020-sep-15";"MST-SX11";NA;"350";"11_08";"2019-04-29";NA;"MST0252";"MST0252::2019-04-29";FALSE
"243";"MST0254";"11";NA;"10.4";"2020-aug-27";"MST-SX09";NA;"350";"09_11";"#N/A-NA-#N/A";NA;"MST0254";"MST0254::#N/A-NA-#N/A";FALSE
"476";"MST0256";"21";NA;"3.4";"2021-mar-05";"MST-SX19";NA;"350";"19_21";"#N/A-NA-#N/A";NA;"MST0256";"MST0256::#N/A-NA-#N/A";FALSE
"160";"MST0256";"20180904-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-09-04";NA;"MST0256";"MST0256::2018-09-04";FALSE
"161";"MST0257";"20180823-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-08-23";NA;"MST0257";"MST0257::2018-08-23";FALSE
"162";"MST0258";"20180627-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-27";NA;"MST0258";"MST0258::2018-06-27";FALSE
"477";"MST0259";"22";NA;"2.98";"2021-mar-05";"MST-SX19";NA;"350";"19_22";"#N/A-NA-#N/A";NA;"MST0259";"MST0259::#N/A-NA-#N/A";FALSE
"163";"MST0259";"20180817-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-08-17";NA;"MST0259";"MST0259::2018-08-17";FALSE
"244";"MST0260";"12";NA;"4.11";"2020-aug-27";"MST-SX09";NA;"350";"09_12";"2019-03-07";NA;"MST0260";"MST0260::2019-03-07";FALSE
"478";"MST0262";"23";NA;"6.15";"2021-mar-05";"MST-SX19";NA;"350";"19_23";"#N/A-NA-#N/A";NA;"MST0262";"MST0262::#N/A-NA-#N/A";FALSE
"164";"MST0262";"20180627-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-27";NA;"MST0262";"MST0262::2018-06-27";FALSE
"591";"MST0263";"1";NA;"1.92";"'2023-jan24";"MST-SX26";NA;"400";"26_01";"2022-03-14";NA;"MST0263";"MST0263::2022-03-14";FALSE
"245";"MST0264";"13";NA;"9.3";"2020-aug-27";"MST-SX09";NA;"350";"09_13";"2019-08-07";NA;"MST0264";"MST0264::2019-08-07";FALSE
"306";"MST0265";"9";NA;"3.42";"2020-sep-15";"MST-SX11";NA;"350";"11_09";"2019-06-28";NA;"MST0265";"MST0265::2019-06-28";FALSE
"224";"MST0266";"8";NA;"3.54";"2020-jun-30";"MST-SX08";NA;"350";"08_08";"2019-03-07";NA;"MST0266";"MST0266::2019-03-07";FALSE
"400";"MST0267";"4";NA;"19.4";"2020-nov-17";"MST-SX16";NA;"350";"16_04";"#N/A-NA-#N/A";NA;"MST0267";"MST0267::#N/A-NA-#N/A";FALSE
"225";"MST0269";"9";NA;"10.2";"2020-jun-30";"MST-SX08";NA;"350";"08_09";"#N/A-NA-#N/A";NA;"MST0269";"MST0269::#N/A-NA-#N/A";FALSE
"165";"MST0270";"20180525-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-05-25";NA;"MST0270";"MST0270::2018-05-25";FALSE
"479";"MST0271";"24";NA;"2.4";"2021-mar-05";"MST-SX19";NA;"350";"19_24";"#N/A-NA-#N/A";NA;"MST0271";"MST0271::#N/A-NA-#N/A";FALSE
"166";"MST0271";"20180627-3";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-27";NA;"MST0271";"MST0271::2018-06-27";FALSE
"246";"MST0272";"14";NA;"10";"2020-aug-27";"MST-SX09";NA;"350";"09_14";"2019-03-21";NA;"MST0272";"MST0272::2019-03-21";FALSE
"167";"MST0273";"20180627-3";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-27";NA;"MST0273";"MST0273::2018-06-27";FALSE
"247";"MST0274";"15";NA;"6.45";"2020-aug-27";"MST-SX09";NA;"350";"09_15";"#N/A-NA-#N/A";NA;"MST0274";"MST0274::#N/A-NA-#N/A";FALSE
"192";"MST0275";"9";"21-03-2019 bundfauna FFSB0011 Flensborg Ydre Fjord";"6.75";"2020-jun-08";"MST-SX06";NA;"350";"06_09";"2019-03-21";NA;"MST0275";"MST0275::2019-03-21";FALSE
"283";"MST0277";"18";NA;"0.374";"2020-sep-08";"MST-SX10";NA;"350";"10_18";"2019-07-08";NA;"MST0277";"MST0277::2019-07-08";FALSE
"226";"MST0278";"10";"14-03-2019, bundfauna, VEJ0004273";"2.78";"2020-jun-30";"MST-SX08";NA;"350";"08_10";"#N/A-NA-#N/A";NA;"MST0278";"MST0278::#N/A-NA-#N/A";FALSE
"168";"MST0280";"20180627-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-27";NA;"MST0280";"MST0280::2018-06-27";FALSE
"169";"MST0281";"20180528-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-05-28";NA;"MST0281";"MST0281::2018-05-28";FALSE
"193";"MST0282";"10";"14-03-2019 bundfauna VEJ0004273";"3.83";"2020-jun-08";"MST-SX06";NA;"350";"06_10";"#N/A-NA-#N/A";NA;"MST0282";"MST0282::#N/A-NA-#N/A";FALSE
"170";"MST0284";"20180403-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-04-03";NA;"MST0284";"MST0284::2018-04-03";FALSE
"171";"MST0284";"20180403-2";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-04-03";NA;"MST0284";"MST0284::2018-04-03";FALSE
"307";"MST0285";"10";NA;"2.56";"2020-sep-15";"MST-SX11";NA;"350";"11_10";"2019-07-08";NA;"MST0285";"MST0285::2019-07-08";FALSE
"172";"MST0286";"20180515-3";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No2";"350";NA;"2018-05-15";NA;"MST0286";"MST0286::2018-05-15";FALSE
"173";"MST0287";"20180403-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-04-03";NA;"MST0287";"MST0287::2018-04-03";FALSE
"174";"MST0287";"20180403-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-04-03";NA;"MST0287";"MST0287::2018-04-03";FALSE
"175";"MST0288";"20180515-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-05-15";NA;"MST0288";"MST0288::2018-05-15";FALSE
"176";"MST0289";"20180403-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-04-03";NA;"MST0289";"MST0289::2018-04-03";FALSE
"177";"MST0289";"20180403-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-04-03";NA;"MST0289";"MST0289::2018-04-03";FALSE
"284";"MST0290";"19";NA;"3.56";"2020-sep-08";"MST-SX10";NA;"350";"10_19";"2019-06-28";NA;"MST0290";"MST0290::2019-06-28";FALSE
"178";"MST0291";"20180515-3";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-05-15";NA;"MST0291";"MST0291::2018-05-15";FALSE
"227";"MST0292";"11";NA;"7.9";"2020-jun-30";"MST-SX08";NA;"350";"08_11";"2019-05-27";NA;"MST0292";"MST0292::2019-05-27";FALSE
"194";"MST0293";"11";"07-03-2019 bundfauna DSØ";"2.73";"2020-jun-08";"MST-SX06";NA;"350";"06_11";"2019-03-07";NA;"MST0293";"MST0293::2019-03-07";FALSE
"652";"MST0294";"10";NA;"1.08";"2023-feb-10";"MST-SX28";NA;"400";"28_10";"2022-07-04";NA;"MST0294";"MST0294::2022-07-04";FALSE
"308";"MST0295";"11";NA;"2.64";"2020-sep-15";"MST-SX11";NA;"350";"11_11";"2019-07-08";NA;"MST0295";"MST0295::2019-07-08";FALSE
"179";"MST0296";"20180528-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-05-28";NA;"MST0296";"MST0296::2018-05-28";FALSE
"180";"MST0297";"20180515-3";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-05-15";NA;"MST0297";"MST0297::2018-05-15";FALSE
"181";"MST0298";"20180514-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-05-14";NA;"MST0298";"MST0298::2018-05-14";FALSE
"182";"MST0299";"20180611-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-06-11";NA;"MST0299";"MST0299::2018-06-11";FALSE
"228";"MST0300";"12";"21-03-2019, FFSB0011, bundfauna, Flensborg ydre fjord";"7.55";"2020-jun-30";"MST-SX08";NA;"350";"08_12";"2019-03-21";NA;"MST0300";"MST0300::2019-03-21";FALSE
"347";"MST0350";"1";NA;"5.85";"2020-okt-22";"MST-SX13";NA;"350";"13_01";"#N/A-NA-#N/A";NA;"MST0350";"MST0350::#N/A-NA-#N/A";FALSE
"374";"MST0352";"2";NA;"0.88";"2020-okt-29";"MST-SX15";NA;"350";"15_02";"#N/A-NA-#N/A";NA;"MST0352";"MST0352::#N/A-NA-#N/A";FALSE
"348";"MST0353";"2";NA;"5.5";"2020-okt-22";"MST-SX13";NA;"350";"13_02";"2020-05-27";NA;"MST0353";"MST0353::2020-05-27";FALSE
"314";"MST0356";"1";NA;"3.41";"2020-okt-19";"MST-SX12";NA;"350";"12_01";NA;NA;"MST0356";"MST0356::NA";FALSE
"375";"MST0357";"3";NA;"1.09";"2020-okt-29";"MST-SX15";NA;"350";"15_03";"2020-05-27";NA;"MST0357";"MST0357::2020-05-27";FALSE
"349";"MST0360";"3";NA;"8.6";"2020-okt-22";"MST-SX13";NA;"350";"13_03";"#N/A-NA-#N/A";NA;"MST0360";"MST0360::#N/A-NA-#N/A";FALSE
"315";"MST0364";"2";NA;"10";"2020-okt-19";"MST-SX12";NA;"350";"12_02";NA;NA;"MST0364";"MST0364::NA";FALSE
"350";"MST0365";"4";NA;"6.55";"2020-okt-22";"MST-SX13";NA;"350";"13_04";"2020-05-27";NA;"MST0365";"MST0365::2020-05-27";FALSE
"376";"MST0366";"4";NA;"1.95";"2020-okt-29";"MST-SX15";NA;"350";"15_04";"2020-05-18";NA;"MST0366";"MST0366::2020-05-18";FALSE
"401";"MST0367";"5";NA;"8.2";"2020-nov-17";"MST-SX16";NA;"350";"16_05";"#N/A-NA-#N/A";NA;"MST0367";"MST0367::#N/A-NA-#N/A";FALSE
"285";"MST0368";"20";NA;"6.95";"2020-sep-08";"MST-SX10";NA;"350";"10_20";"2019-08-14";NA;"MST0368";"MST0368::2019-08-14";FALSE
"443";"MST0370";"1";NA;"6.55";"2020-dec-01";"MST-SX18";NA;"350";"18_01";"2020-06-10";NA;"MST0370";"MST0370::2020-06-10";FALSE
"402";"MST0371";"6";NA;"12";"2020-nov-17";"MST-SX16";NA;"350";"16_06";"#N/A-NA-#N/A";NA;"MST0371";"MST0371::#N/A-NA-#N/A";FALSE
"316";"MST0374";"3";NA;"5.75";"2020-okt-19";"MST-SX12";NA;"350";"12_03";NA;NA;"MST0374";"MST0374::NA";FALSE
"444";"MST0376";"2";NA;"6.85";"2020-dec-01";"MST-SX18";NA;"350";"18_02";"2020-05-28";NA;"MST0376";"MST0376::2020-05-28";FALSE
