"","X","qpcrno","qpcr.rplno","lokalitet_vanda","volfilt_mL","declat","declon","plateno","Lat_Species","mnt","smpltp","smplNoSTEX","welltp","Genus","species","yea","ssn","MST.n_Dinds","aboveLOQ","NoCt","AbLOD_BeLOQ","belowLOD","freq_repl_eval","gen_specnm.qpcrno.pltn.MSTno.mnt","MSTD.LS.QN","NISfnd","orgF","yer","orgFnd","orgFnd2","ssnno","yer_ssn","yer_ssn2","lok_pos_lat","lok_pos_lon","MST.nummer","Dato_inds"
"2","2","qpcr0652","qpcr0652.10",93000001,"1100",56.132217,11.157867,"plt01","Crassostrea gigas","Aug","MST0012",NA,"Unknown","Magallana","gigas","2017","fall","MST0012_2017-08-29","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0012_2017-08-29_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",56.132217,11.157867,"MST0012_2017-08-29","2017-08-29"
"3","3","qpcr0652","qpcr0652.11",93740007,"710",56.622167,9.075833,"plt01","Crassostrea gigas","Sep","MST0019",NA,"Unknown","Magallana","gigas","2017","fall","MST0019_2017-09-12","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0019_2017-09-12_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",56.622167,9.075833,"MST0019_2017-09-12","2017-09-12"
"4","4","qpcr0652","qpcr0652.12",95600002,"1400",54.997667,10.160333,"plt01","Crassostrea gigas","Sep","MST0029",NA,"Unknown","Magallana","gigas","2017","fall","MST0029_2017-09-25","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0029_2017-09-25_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",54.997667,10.160333,"MST0029_2017-09-25","2017-09-25"
"5","5","qpcr0652","qpcr0652.13",94300001,"800",55.674383,10.090417,"plt01","Crassostrea gigas","Sep","MST0032",NA,"Unknown","Magallana","gigas","2017","fall","MST0032_2017-09-20","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0032_2017-09-20_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.674383,10.090417,"MST0032_2017-09-20","2017-09-20"
"6","6","qpcr0652","qpcr0652.14",99000049,"1450",55.25,55.250017,"plt01","Crassostrea gigas","Oct","MST0041",NA,"Unknown","Magallana","gigas","2017","fall","MST0041_2017-10-19","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0041_2017-10-19_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.25,55.250017,"MST0041_2017-10-19","2017-10-19"
"7","7","qpcr0652","qpcr0652.15",97200002,"1500",55.8623,12.750267,"plt01","Crassostrea gigas","Sep","MST0046",NA,"Unknown","Magallana","gigas","2017","fall","MST0046_2017-09-18","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0046_2017-09-18_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.8623,12.750267,"MST0046_2017-09-18","2017-09-18"
"8","8","qpcr0652","qpcr0652.16",94230001,"1100",55.4678333333333,10.5169333333333,"plt01","Crassostrea gigas","Oct","MST0048",NA,"Unknown","Magallana","gigas","2017","fall","MST0048_2017-10-09","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0048_2017-10-09_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.4678333333333,10.5169333333333,"MST0048_2017-10-09","2017-10-09"
"9","9","qpcr0652","qpcr0652.17",93000005,"1800",56.856667,10.791667,"plt01","Crassostrea gigas","Jun","MST0071",NA,"Unknown","Magallana","gigas","2018","spri","MST0071_2018-06-11","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0071_2018-06-11_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.856667,10.791667,"MST0071_2018-06-11","2018-06-11"
"10","10","qpcr0652","qpcr0652.17",93770056,"400",56.600833,8.414833,"plt01","Crassostrea gigas","Apr","MST0050",NA,"Unknown","Magallana","gigas","2018","spri","MST0050_2018-04-25","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0050_2018-04-25_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.600833,8.414833,"MST0050_2018-04-25","2018-04-25"
"11","11","qpcr0652","qpcr0652.18",93610032,"1610",56.659,9.973333,"plt01","Crassostrea gigas","Jun","MST0074",NA,"Unknown","Magallana","gigas","2018","spri","MST0074_2018-06-11","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0074_2018-06-11_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.659,9.973333,"MST0074_2018-06-11","2018-06-11"
