"","genus_species_aar","MST0156_2020-05-15","MST0267_2020-06-16","MST0350_2020-06-17","MST0353_2020-05-27","MST0377_2020-05-18","MST0378_2020-05-28","MST0384_2020-05-15","MST0385_2020-06-10","MST0386_2020-05-15","MST0394_2020-05-15","MST0395_2020-06-10","MST0404_2020-05-20","MST0424_2020-05-12","MST0447_2020-06-08","MST0448_2020-05-26","MST0455_2020-05-15","MST0462_2020-03-09","MST0501_2020-06-04","MST0510_2020-06-10","MST0512_2020-06-03","MST0522_2020-07-28","MST0526_2020-05-13","MST0529_2020-05-14","MST0530_2020-05-15","MST0533_2020-05-13","MST0535_2020-03-09","MST0551_2020-06-02","MST0552_2020-06-25","MST0553_2020-05-26","MST0558_2020-06-04","MST412_2020-05-26"
"862","Mnemiopsis leidyi_2020","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'0/0/3/0'","'0/0/3/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'2/0/1/0'","'0/0/0/3'","'0/0/3/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'1/0/0/2'","'3/0/0/0'","'2/0/1/0'","'0/0/3/0'","'1/0/2/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'"
"863","Mya arenaria_2020","'3/0/0/0'","'0/0/3/0'","'1/0/1/1'","'0/0/0/3'","'0/0/3/0'","'0/0/0/3'","'2/0/1/0'","'1/0/1/1'","'0/0/0/3'","'0/0/0/3'","'2/0/1/0'","'1/0/2/0'","'0/0/3/0'","'0/0/2/1'","'0/0/2/1'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'2/0/1/0'","'0/0/0/3'","'0/0/3/0'","'0/0/0/3'","'0/0/2/1'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'"
"864","Neogobius melanostomus_2020","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"865","Oncorhynchus mykiss_2020","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'"
"866","Oncorhyncus gorbuscha_2020","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"867","Paralithodes camtschaticus_2020","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"868","Prorocentrum minimum_2020","'0/0/3/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'1/0/2/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/1/2'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"869","Pseudochattonella farcimen_2020","'0/0/0/3'","'2/0/1/0'","'0/1/2/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'2/0/1/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'"
"870","Pseudochattonella verruculosa_2020","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'0/0/1/2'","'3/0/0/0'","'2/1/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'2/1/0/0'","'2/1/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"871","Rhithropanopeus harrisii_2020","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
