"","qpcrno","qpcr.rplno","lokalitet_vanda","volfilt_mL","declat","declon","plateno","Lat_Species","mnt","smpltp","smplNoSTEX","welltp","Genus","species","yea","ssn","MST.n_Dinds","aboveLOQ","NoCt","AbLOD_BeLOQ","belowLOD","freq_repl_eval","gen_specnm.qpcrno.pltn.MSTno.mnt"
"1","qpcr0652","qpcr0652.1",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E6",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0652.."
"2","qpcr0652","qpcr0652.10",93000001,1100,56.132217,11.157867,"plt01","Crassostrea gigas","Aug","MST0012",NA,"Unknown","Magallana","gigas",2017,"fall","MST0012_2017-08-29",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"3","qpcr0652","qpcr0652.11",93740007,710,56.622167,9.075833,"plt01","Crassostrea gigas","Sep","MST0019",NA,"Unknown","Magallana","gigas",2017,"fall","MST0019_2017-09-12",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"4","qpcr0652","qpcr0652.12",95600002,1400,54.997667,10.160333,"plt01","Crassostrea gigas","Sep","MST0029",NA,"Unknown","Magallana","gigas",2017,"fall","MST0029_2017-09-25",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"5","qpcr0652","qpcr0652.13",94300001,800,55.674383,10.090417,"plt01","Crassostrea gigas","Sep","MST0032",NA,"Unknown","Magallana","gigas",2017,"fall","MST0032_2017-09-20",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"6","qpcr0652","qpcr0652.14",99000049,1450,55.25,55.250017,"plt01","Crassostrea gigas","Oct","MST0041",NA,"Unknown","Magallana","gigas",2017,"fall","MST0041_2017-10-19",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"7","qpcr0652","qpcr0652.15",97200002,1500,55.8623,12.750267,"plt01","Crassostrea gigas","Sep","MST0046",NA,"Unknown","Magallana","gigas",2017,"fall","MST0046_2017-09-18",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"8","qpcr0652","qpcr0652.16",94230001,1100,55.4678333333333,10.5169333333333,"plt01","Crassostrea gigas","Oct","MST0048",NA,"Unknown","Magallana","gigas",2017,"fall","MST0048_2017-10-09",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"9","qpcr0652","qpcr0652.17",93000005,1800,56.856667,10.791667,"plt01","Crassostrea gigas","Jun","MST0071",NA,"Unknown","Magallana","gigas",2018,"spri","MST0071_2018-06-11",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"10","qpcr0652","qpcr0652.17",93770056,400,56.600833,8.414833,"plt01","Crassostrea gigas","Apr","MST0050",NA,"Unknown","Magallana","gigas",2018,"spri","MST0050_2018-04-25",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
