"","genus_species_aar","MST1022_2021-05-17","MST1024_2021-04-15","MST1027_2021-03-19","MST1028_2021-03-15","MST1031_2021-03-17","MST1038_2021-04-14","MST1039_2021-04-26","MST1043_2021-04-06","MST1054_2021-05-18","MST2021002_2021-07-07","MST2021005_2021-06-01","MST2021008_2021-05-19","MST2021012_2021-04-27","MST2021019_2021-05-25","MST2021025_2021-06-10","MST2021030_2021-05-26","MST2021031_2021-06-17","MST2021032_2021-06-23","MST2021039_2021-05-07","MST2021043_2021-05-17","MST2021044_2021-05-19","MST2021049_2021-05-21","MST2021051_2021-06-04","MST2021052_2021-06-14","MST2021062_2021-05-21","MST2021075_2021-05-11","MST2021088_2021-05-20","MST2021089_2021-05-17"
"3398","Karenia mikimotoi_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3399","Mnemiopsis leidyi_2021","'0/0/0/3'","'3/0/0/0'","'0/3/0/0'","'0/1/0/2'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/2/1'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'1/0/0/2'","'0/2/0/1'","'0/0/0/3'","'0/3/0/0'"
"3400","Mya arenaria_2021","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'2/1/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/2/0/1'","'0/0/0/3'","'0/3/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/2/0/1'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'1/0/0/2'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'"
"3401","Neogobius melanostomus_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/1/2/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3402","Oncorhynchus mykiss_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/1/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3403","Oncorhyncus gorbuscha_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3404","Prorocentrum minimum_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'1/0/2/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3405","Pseudochattonella farcimen_2021","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/3/0'","'0/0/0/3'","'1/0/2/0'","'0/0/0/3'","'3/0/0/0'","'0/0/1/2'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/1/2'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'"
"3406","Pseudochattonella verruculosa_2021","'2/1/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'0/0/0/3'","'3/0/0/0'","'2/1/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'0/3/0/0'","'3/0/0/0'","'1/2/0/0'"
"3407","Rhithropanopeus harrisii_2021","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
