"","genus_species_aar","MST1018_2023-09-06","MST2023001_2023-08-21","MST2023010_2023-08-02","MST2023015_2023-08-04","MST2023019_2023-08-25","MST2023033_2023-08-11","MST2023050_2023-10-03","MST2023055_2023-08-01","MST2023058_2023-08-03","MST2023061_2023-08-11","MST2023066_2023-08-21","MST2023074_2023-08-10","MST2023076_2023-08-03","MST2023081_2023-10-02","MST2023082_2023-10-04","MST2023084_2023-10-09","MST2023096_2023-08-18","MST2023111_2023-08-12","MST2023117_2023-09-11"
"3375","Hemigrapsus sanguineus_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3376","Hemigrapsus takanoi_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'"
"3377","Homarus americanus_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3378","Karenia mikimotoi_2023","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'1/0/2/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'"
"3379","Mnemiopsis leidyi_2023","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/1/2'","'0/0/2/1'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'"
"3380","Mya arenaria_2023","'3/0/0/0'","'0/0/1/2'","'2/0/1/0'","'3/0/0/0'","'2/0/1/0'","'0/0/2/1'","'0/0/0/3'","'0/0/3/0'","'3/0/0/0'","'0/0/1/2'","'3/0/0/0'","'0/0/0/3'","'0/1/2/0'","'0/0/2/1'","'0/0/0/3'","'0/0/0/3'","'0/0/3/0'","'2/1/0/0'","'0/0/0/3'"
"3381","Neogobius melanostomus_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/2/1/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'"
"3382","Oncorhyncus gorbuscha_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3383","Paralithodes camtschaticus_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"3384","Prorocentrum minimum_2023","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/1/0/2'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/1/2'","'2/0/1/0'","'0/0/0/3'","'0/0/0/3'"
"3385","Pseudochattonella farcimen_2023","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/3/0/0'","'1/0/0/2'","'1/0/0/2'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/1/2/0'","'3/0/0/0'","'0/0/0/3'","'1/0/0/2'","'1/2/0/0'","'2/1/0/0'","'1/0/0/2'","'0/0/0/3'","'0/0/0/3'"
"3386","Pseudochattonella verruculosa_2023","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'3/0/0/0'","'2/1/0/0'","'2/1/0/0'","'3/0/0/0'","'2/1/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'"
"3387","Rhithropanopeus harrisii_2023","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
